"nombre","direccion","contacto","latitud","longitud"
"Oficialía 01 del registro civil hermosillo","Huasteca 18-a, col. modelo, Hermosillo, Sonora","215 57 84","0","0"
"Oficialía 02 del registro civil hermosillo","Aguascalientes 351-a, entre Loaiza y Olivares, Hermosillo, Sonora","216 88 01","29.0932341","-110.9779094"
"Oficialía 03 del registro civil hermosillo","Perimetral Nte. 110, Esquina con solidaridad, edificio CUM, Hermosillo, Sonora","216 92 60 y 216","29.0729673","-110.9559192"
"Oficialía 01 del registro civil obregon","Edificio del gobierno del Estado, Sinaloa y Montero Morales, Cd. Obregón, Sonora","414 00 89","0","0"
"Oficialía 01 del registro civil obregon","No reelección 107 Pte., Cd. Obregón, Sonora","414 77 22","27.4918659","-109.9391981"
"Oficialía del registro civil cananea","Avenida obregón y calle cuarta este 5, Cananea, Sonora","332 59 32","30.9848123","-110.3024285"
"Oficialía del registro civil Villa de Seris","Rosales 9 entre blvd. Vildósola y Jesús García, col. villa de seris, Hermosillo, Sonora","250 47 05","29.0645228","-110.9560514"
"Oficialía del registro civil Agua Prieta","Calle 7, Ave. 8, local 2, Agua Prieta, Sonora","338 13 89","31.3277755","-109.5489617"
"Oficialía del registro civil Alamos","Palacio municipal, ave. Juárez (s/n), Alamos, Sonora","428 10 32","27.0254869","-108.941309"
"Oficialía del registro civil Bacobampo","Calle chihuahua s/n, Depto. 2, Bacobampo, Sonora","427 09 85","26.9827509","-109.6516234"
"Oficialía del registro civil Villa Juárez","Palacio municipal, Plutarco elías calles (sin número), Benito juárez, Sonora","435 08 47","27.4940988","-109.9228908"
"Oficialía del registro civil Caborca","Edificio del estado, calle 6ta. entre Q y R, col. centro, Caborca, Sonora","372 69 05","30.7123741","-112.1519636"
"Oficialía del registro civil Cócorit","Argentina y Yáñez (sin número), Cócorit, Sonora","418 07 53","27.5766662","-109.9597539"
"Oficialía del registro civil Cumpas","ave. a no. 720, Cumpas, Sonor","346-01-10","0","0"
"Oficialía del registro civil Empalme","Nicolás Bravo y Héroe de Nacozari, Empalme, Sonora","223-12-66","27.9599092","-110.8196088"
"Oficialía del registro civil etchojoa","Ave. Miguel Hidalgo entre Blvd. Rafaela Rodríguez y 16 de septiembre, etchojoa, sonora","425 06 65","26.9121333","-109.6259721"
"Oficialía del Registro Civil Guaymas","Edificio del Estado, calle 19 y Avenida 17, int. 1 planta baja, Guaymas, Sonora","222 25 40","27.9178651","-110.9089378"
"Oficialía del registro civil huatabampo","Edificio del gobierno del Estado, No reelección (sin número), entre Constitución y 16 de septiembre, Huatabampo, Sonora","426 04 31","26.8271492","-109.6418609"
"Oficialía del registro civil Magdalena de Kino","Avenida 5 de mayo 100, col. centro, Magdalena de Kino, Sonora","322 09 70","30.6320426","-110.9685118"
"Oficialía del registro civil Nacozari de Garcia","Palacio Municipal, Plaza Jesús García 2, Nacozari de García, Sonora","342-0088","30.3696259","-109.700303"
"Oficial del registro civil navojoa","Verbena 113, Brisas del Valle, Navajoa","422 4635","27.0465351","-109.4665111"
"Oficialía del registro civil nogales sonora","Edificio del Estado, Campillo e Ingenieros, Nogales, Sonora","312 35 05","31.3276466","-110.9469877"
"Oficialía del registro civil Poblado Miguel Alemán","Carretera a Bahía de kino, kilómetro 62 y 12 de octubre, Poblado miguel Alemán, Sonora","241 12 90","28.8396369","-111.4906311"
"Oficialía del registro civil puerto peñasco","Palacio Municipal, blvd. Benito Juárez (sin número), Puerto Peñasco, Sonora","383 17 10","31.3268218","-113.5311843"
"Oficialía del registro civil Sahuaripa","Hidalgo y avenida Meneses, Sahuaripa, Sonora","343 05 66","29.0562341","-109.2332894"
"Oficialía del registro civil San Ignacio Cohuirimpo","Francisco Madero entre Benito Juárez y zaragoza, San Ignacio Cohuirimpo, Sonora","423-04-26","27.0718265","-109.494331"
"Oficialía del registro civil San Luis Rio Colorado","Edificio del Estado, Hidalgo, entre cuarta y quinta, San Luis Río Colorado, Sonora","534 16 81","32.4518877","-114.771711"
"Oficialía del registro civil San Pedro Río Mayo","Domicilio conocido, San Pedro Río Mayo, Sonora","427 09 84","26.9072334","-109.6900746"
"Oficialía del registro civil Santa Ana","Palacio municipal, Avenida Serna y calle Zaragoza, Santa Ana, Sonora","324 02 69","30.5398333","-111.1196215"
"Oficialía del registro civil Ures","Palacio Municipal, Zaragoza número 1, Ures, Sonora","232 02 48","29.4274354","-110.3867314"
