"nombre","direccion","contacto"
"Registro Civil Tecalitlan","Calle Juárez No. 56 Poniente, Col. Centro, C.P. 49900, Tecalitlan, Jalisco","01 371 41 8 28 56"
"Registro Civil Teocaltiche","Plaza Principal No. 50, Col. Centro, Teocaltiche, Jalisco","01 346 787 21 52"
"Registro Civil Tepatitlán de Morelos","Hidalgo No. 45, Col. Centro, Tepatitlán de Morelos, Jalisco","01 378 78 88 700"
"Registro Civil Teuchitlán","16 de Septiembre No. 10, Col. Centro, Teuchitlán, Jalisco",01
"Registro Civil Tizapan El Alto","Independencia No. 170, Col. Centro,C.P. 49400, Tizapan, Jalisco.","13 076 76 81 158"
"Registro Civil Tlajomulco de Zuñiga","Donato Guerra No. 10,Col. Centro, C.P. 45640, Tlajomulco de Zuñiga, Jalisco.","01 33 32 83 44 44 ext. 3450 y 3451"
"Registro Civil Toliman","J. Santos Palacios No. 16, Col. Centro, C.P. 49750, Toliman, Jalisco.","13 434 34 01 28"
"Registro Civil Tomatlán","Constitución No. 2, Col. Centro, Tomatlán, Jalisco.","01 322 29 85 411"
"Registro Civil Tonala","Morelos No. 20, Col. Centro, C.P. 45418, Tonala, Jalisco",32843019
"Registro Civil Tonala Oficialía No. 8","Atotonilco el Alto No. 6, Col. Centro, Tonala, Jalisco","01 360 77 014"
"Registro Civil Tonala Oficialía No. 9","Vegetación No. 64, Col. Centro, Tonala, Jalisco","01 368 12 375"
"Registro Civil Totatiche","Hidalgo No. 37, Col. Centro, Totatiche, Jalisco","01 437 96 40 162"
"Registro Civil Tototlan","Juárez No. 35, Col. Centro, C.P. 48000, Tototlan, Jalisco",3919160051
"Registro Civil Tuxpan","Reforma No. 6, Col. Centro, C.P.. 49800, Tuxpan, Jalisco.","13 714 17 43 17"
"Registro Civil Unión de San Antonio","Iturbide No. 1, Col. Centro, Unión de San Antonio, Jalisco","01 395 72 50 124"
"Registro Civil Unión de Tula","Calle Juárez No. 56 Poniente, Col. Centro, C.P. 48000, Unión de Tula, Jalisco","31 637 10 011 Ext. 124 y 128"
"Registro Civil Valle de Guadalupe","P0alacio Municipal S/N, Col. Centro, Valle de Guadalupe, Jalisco.","13 477 14 00 40"
"Registro Civil Villa Corona","Calle Juárez No. 56 Poniente, Col. Centro, C.P. 49900, Tecalitlan, Jalisco","01 371 41 8 28 56"
"Registro Civil Villa Guerrero","Independencia No. 23, Col. Centro, Villa Guerreo, Jalisco.","01 437 96 450 52 ext. 106"
"Registro Civil Villa Purificación","Nicolas Bravo No. 95, Col. Centro, C.P. 48800, Purificación, Jalisco.","01 35 73 75 01 40 Ext. 110"
"Registro Civil Yahualica de González Gallo","Juárez No. 28, Col. Centro, Yahualica de González Gallo, Jalisco.","01 344 78 41 888"
"Registro Civil Zacoalco de Torres","Leandro Valle No. 13, Col. Centro, C.P. 45750, Zacoalco de Torres, Jalisco",42300071
"Registro Civil Zapotiltic","Reforma No. 6, Col. Centro, C.P. 49600, Zapotiltic, Jalisco",0134140442
"Registro Civil Zapotlán del Rey","Juárez No. 26, Col. Centro, Zapotlán del Rey, Jalisco.","01 391 92 15 175"
"Registro Civil Zapotlanejo","Reforma No. 32, Col. Centro, Zapotlanejo, Jalisco.","01 373 73 41 024"
"SEDESOL, Modalidad Identidad Jurídica del Estado","Lerdo de Tejada n° 2466, Col. Obrera Centro, C.P. 44200, Guadalajara, Jal.","01 333 616 66 70"
"INEGI Guadalajara","Av. 16 de Septiembre n° 670, Col. Mexicaltzingo C.P.44180, Guadalajara, Jal.","01 333 658 49 61"
"Instituto Nacional de Migración Delegación Regional Jalisco","Av. Alcalde # 500, Col. Centro, Guadalajara, jalisco.","01 333 942 02 20 ( 207 )"
